Gene stable ID	Gene name	NCBI gene ID
WBGene00000513	ckb-3	181905
WBGene00000514	ckb-4	184864
WBGene00000515	ckc-1	188971
WBGene00000516	cki-1	174260
WBGene00000517	cki-2	174261
WBGene00000518	ckk-1	182278
WBGene00000519	cku-70	176546
WBGene00000520	cku-80	175578
WBGene00000521	cky-1	179743
WBGene00000522	clc-1	181293
WBGene00000523	clc-2	180999
WBGene00000524	clc-3	180625
WBGene00000525	clc-4	188095
WBGene00000526	clc-5	181000
WBGene00000527	cle-1	172678
WBGene00000528	clh-1	174821
WBGene00000529	clh-2	174738
WBGene00000530	clh-3	174187
WBGene00000531	clh-4	180687
WBGene00000532	clh-5	174449
WBGene00000533	clh-6	179655
WBGene00000534	cpi-2	178992
WBGene00000535	cpi-1	177372
WBGene00000536	clk-1	175729
WBGene00000537	clk-2	176065
WBGene00000539	cln-3.1	179559
WBGene00000540	cln-3.2	172171
WBGene00000541	cln-3.3	179249
WBGene00000542	clp-1	176122
WBGene00000543	clp-2	175618
WBGene00000544	clp-3	173089
WBGene00000545	clp-4	175326
WBGene00000546	clp-6	190738
WBGene00000547	clp-7	176953
WBGene00000548	clr-1	3565419
WBGene00000549	cls-2	176280
WBGene00000550	clu-1	176341
WBGene00000551	clx-1	177556
WBGene00000552	cmd-1	178614
WBGene00000553	cmk-1	176989
WBGene00000554	cnb-1	179572
WBGene00000555	cnc-1	187726
WBGene00000556	cnc-2	178637
WBGene00000557	cnc-3	178636
WBGene00000558	cnc-4	178635
WBGene00000559	cnc-5	187729
WBGene00000560	cnc-6	175324
WBGene00000561	cnd-1	183212
WBGene00000562	cng-1	180004
WBGene00000563	cng-3	3565463
WBGene00000564	cnk-1	187518
WBGene00000565	cnt-1	174848
WBGene00000566	cnt-2	176490
WBGene00000567	cnx-1	176390
WBGene00000583	cof-2	183582
WBGene00000584	cog-1	175149
WBGene00000585	cogc-2	177473
WBGene00000591	coh-1	181003
WBGene00000592	coh-3	179949
WBGene00000593	col-2	177872
WBGene00000594	col-3	177695
WBGene00000596	col-7	172494
WBGene00000597	col-8	175981
WBGene00000598	col-9	186210
WBGene00000599	col-10	179298
WBGene00000601	col-12	179453
WBGene00000602	col-13	179452
WBGene00000603	col-14	177559
WBGene00000606	col-17	173839
WBGene00000608	col-19	180397
WBGene00000609	col-20	173840
WBGene00000610	col-33	177191
WBGene00000611	col-34	177188
WBGene00000612	col-35	172492
WBGene00000613	col-36	174178
WBGene00000614	col-37	179668
WBGene00000615	col-38	174370
WBGene00000616	col-39	174651
WBGene00000617	col-40	173495
WBGene00000618	col-41	181610
WBGene00000620	col-43	179187
WBGene00000621	col-44	186211
WBGene00000622	col-45	171605
WBGene00000623	col-46	4363005
WBGene00000624	col-47	4363004
WBGene00000625	col-48	171873
WBGene00000626	col-49	187239
WBGene00000627	col-50	189050
WBGene00000628	col-51	189052
WBGene00000629	col-52	183885
WBGene00000630	col-53	172222
WBGene00000631	col-54	185226
WBGene00000632	col-55	188127
WBGene00000633	col-56	188271
WBGene00000634	col-58	184957
WBGene00000636	col-60	172445
WBGene00000637	col-61	182090
WBGene00000638	col-62	172495
WBGene00000639	col-63	172607
WBGene00000640	col-64	186127
WBGene00000641	col-65	187138
WBGene00000642	col-66	
WBGene00000644	col-68	173395
WBGene00000645	col-69	186819
WBGene00000646	H17B01.2	186749
WBGene00000647	col-71	173695
WBGene00000648	col-72	173698
WBGene00000649	col-73	184366
WBGene00000650	col-74	173989
WBGene00000651	col-75	186968
WBGene00000652	col-76	174320
WBGene00000653	col-77	174336
WBGene00000654	col-78	189274
WBGene00000655	col-79	174650
WBGene00000656	col-80	174652
WBGene00000657	col-81	174686
WBGene00000658	col-83	185221
WBGene00000659	col-84	174824
WBGene00000660	col-85	188672
WBGene00000661	col-86	190749
WBGene00000662	col-87	3565880
WBGene00000663	col-88	175170
WBGene00000664	col-89	175627
WBGene00000665	col-90	176117
WBGene00000666	col-91	184269
WBGene00000667	col-92	176528
WBGene00000668	col-93	259335
WBGene00000669	col-94	259336
WBGene00000670	col-95	176602
WBGene00000671	col-96	353461
WBGene00000672	col-97	176721
WBGene00000673	col-98	176724
WBGene00000674	col-99	185112
WBGene00000675	col-101	176854
WBGene00000676	col-102	182802
WBGene00000677	col-103	176901
WBGene00000678	col-104	176947
WBGene00000679	col-105	186529
WBGene00000680	col-106	176955
WBGene00000681	col-107	176961
WBGene00000682	col-108	176985
WBGene00000683	col-109	176988
WBGene00000684	col-110	177225
WBGene00000685	col-111	177230
WBGene00000687	col-113	177487
WBGene00000688	col-114	177500
WBGene00000689	col-115	189843
WBGene00000690	col-116	184617
WBGene00000691	col-117	177694
WBGene00000692	col-118	177699
WBGene00000693	col-119	177715
WBGene00000694	col-120	177748
WBGene00000695	col-121	177771
WBGene00000696	col-122	177789
WBGene00000697	col-123	177823
WBGene00000698	col-124	177901
WBGene00000699	col-125	178029
WBGene00000700	col-126	178034
WBGene00000701	col-127	186228
WBGene00000702	col-128	178076
WBGene00000703	col-129	178155
WBGene00000704	col-130	178193
WBGene00000705	col-131	178254
WBGene00000706	col-132	183347
WBGene00000707	col-133	186083
WBGene00000708	col-135	3565413
WBGene00000709	col-136	
WBGene00000710	col-137	190149
WBGene00000711	col-138	183722
WBGene00000712	col-139	178857
WBGene00000713	col-140	178971
WBGene00000714	col-141	188515
WBGene00000715	col-142	188514
WBGene00000716	col-143	179073
WBGene00000717	col-144	179296
WBGene00000718	col-145	179297
WBGene00000719	col-146	188178
WBGene00000720	col-147	179351
WBGene00000721	col-148	182542
WBGene00000722	col-149	179431
WBGene00000723	col-150	181814
WBGene00000724	col-151	179448
WBGene00000725	col-152	185212
WBGene00000726	col-153	179517
WBGene00000727	col-154	186300
WBGene00000728	col-155	186301
WBGene00000729	col-156	186439
WBGene00000730	col-157	188426
WBGene00000731	col-158	179619
WBGene00000732	col-159	179803
WBGene00000733	col-160	179804
WBGene00000734	col-161	179812
WBGene00000735	col-162	179825
WBGene00000736	col-163	3564794
WBGene00000737	col-164	180523
WBGene00000738	col-165	180710
WBGene00000739	col-166	180902
WBGene00000740	col-167	180907
WBGene00000741	col-168	180908
WBGene00000742	col-169	180909
WBGene00000743	col-170	353462
WBGene00000744	col-171	353463
WBGene00000745	col-172	180934
WBGene00000746	col-173	180960
WBGene00000747	col-174	181014
WBGene00000748	col-175	24104282
WBGene00000749	col-176	181219
WBGene00000750	col-177	181290
WBGene00000751	col-178	181307
WBGene00000752	col-179	181308
WBGene00000753	col-180	181356
WBGene00000754	col-181	181378
WBGene00000755	col-182	187723
WBGene00000756	col-183	184081
WBGene00000757	col-184	181470
WBGene00000758	col-185	3565052
WBGene00000759	col-186	184015
WBGene00000760	col-187	181685
WBGene00000761	coq-1	172190
WBGene00000762	coq-2	175969
WBGene00000763	coq-3	178403
